"07459: Befolkning, etter region, kjønn, alder, statistikkvariabel og år"

"region";"kjønn";"alder";"Personer 2018"
"14 Sogn og Fjordane";"Menn";"4 år";587
"14 Sogn og Fjordane";"Menn";"5 år";673
"14 Sogn og Fjordane";"Menn";"6 år";702
"14 Sogn og Fjordane";"Menn";"7 år";733
"14 Sogn og Fjordane";"Menn";"8 år";698
"14 Sogn og Fjordane";"Menn";"9 år";742
"14 Sogn og Fjordane";"Menn";"10 år";709
"14 Sogn og Fjordane";"Menn";"11 år";698
"14 Sogn og Fjordane";"Menn";"12 år";746
"14 Sogn og Fjordane";"Menn";"13 år";725
"14 Sogn og Fjordane";"Menn";"14 år";731
"14 Sogn og Fjordane";"Menn";"15 år";733
"14 Sogn og Fjordane";"Menn";"16 år";752
"14 Sogn og Fjordane";"Menn";"17 år";843
"14 Sogn og Fjordane";"Menn";"18 år";861
"14 Sogn og Fjordane";"Kvinner";"0 år";516
"14 Sogn og Fjordane";"Kvinner";"1 år";520
"14 Sogn og Fjordane";"Kvinner";"2 år";584
"14 Sogn og Fjordane";"Kvinner";"3 år";598
"14 Sogn og Fjordane";"Kvinner";"4 år";588
"14 Sogn og Fjordane";"Kvinner";"5 år";607
"14 Sogn og Fjordane";"Kvinner";"6 år";673
"14 Sogn og Fjordane";"Kvinner";"7 år";635
"14 Sogn og Fjordane";"Kvinner";"8 år";675
"14 Sogn og Fjordane";"Kvinner";"9 år";656
"14 Sogn og Fjordane";"Kvinner";"10 år";697
"14 Sogn og Fjordane";"Kvinner";"11 år";646
"14 Sogn og Fjordane";"Kvinner";"12 år";710
"14 Sogn og Fjordane";"Kvinner";"13 år";720
"14 Sogn og Fjordane";"Kvinner";"14 år";748
"14 Sogn og Fjordane";"Kvinner";"15 år";676
"14 Sogn og Fjordane";"Kvinner";"16 år";725
"14 Sogn og Fjordane";"Kvinner";"17 år";732
"14 Sogn og Fjordane";"Kvinner";"18 år";726
"15 Møre og Romsdal";"Menn";"0 år";1373
"15 Møre og Romsdal";"Menn";"1 år";1437
"15 Møre og Romsdal";"Menn";"2 år";1459
"15 Møre og Romsdal";"Menn";"3 år";1532
"15 Møre og Romsdal";"Menn";"4 år";1541
"15 Møre og Romsdal";"Menn";"5 år";1595
"15 Møre og Romsdal";"Menn";"6 år";1637
"15 Møre og Romsdal";"Menn";"7 år";1601
"15 Møre og Romsdal";"Menn";"8 år";1763
"15 Møre og Romsdal";"Menn";"9 år";1672
"15 Møre og Romsdal";"Menn";"10 år";1701
"15 Møre og Romsdal";"Menn";"11 år";1643
"15 Møre og Romsdal";"Menn";"12 år";1628
"15 Møre og Romsdal";"Menn";"13 år";1738
"15 Møre og Romsdal";"Menn";"14 år";1740
"15 Møre og Romsdal";"Menn";"15 år";1616
"15 Møre og Romsdal";"Menn";"16 år";1761
"15 Møre og Romsdal";"Menn";"17 år";1854
"15 Møre og Romsdal";"Menn";"18 år";1861
"15 Møre og Romsdal";"Kvinner";"0 år";1348
"15 Møre og Romsdal";"Kvinner";"1 år";1391
"15 Møre og Romsdal";"Kvinner";"2 år";1432
"15 Møre og Romsdal";"Kvinner";"3 år";1382
"15 Møre og Romsdal";"Kvinner";"4 år";1470
"15 Møre og Romsdal";"Kvinner";"5 år";1540
"15 Møre og Romsdal";"Kvinner";"6 år";1557
"15 Møre og Romsdal";"Kvinner";"7 år";1599
"15 Møre og Romsdal";"Kvinner";"8 år";1648
"15 Møre og Romsdal";"Kvinner";"9 år";1610
"15 Møre og Romsdal";"Kvinner";"10 år";1610
"15 Møre og Romsdal";"Kvinner";"11 år";1602
"15 Møre og Romsdal";"Kvinner";"12 år";1608
"15 Møre og Romsdal";"Kvinner";"13 år";1649
"15 Møre og Romsdal";"Kvinner";"14 år";1594
"15 Møre og Romsdal";"Kvinner";"15 år";1593
"15 Møre og Romsdal";"Kvinner";"16 år";1676
"15 Møre og Romsdal";"Kvinner";"17 år";1664
"15 Møre og Romsdal";"Kvinner";"18 år";1751
"50 Trøndelag";"Menn";"0 år";2484
"50 Trøndelag";"Menn";"1 år";2724
"50 Trøndelag";"Menn";"2 år";2687
